id,label,description,rights,meta.Agent,meta.Alt Text,meta.Cultural Context,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Rights,meta.Style Period,meta.Subject,Meta.Worktype
000850,Sarcophagus from Arles,"Marble sarcophagus, side view. 10 figures carved in high relief stand in a row, dressed in draped garments. A tree branch motif runs along the top register. Identifiable are scenes from the life of Christ, as well as figures of uncertain identification, possibly the donor, and possibly Moses.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,"Marble sarcophagus, side view, with scenes from life of Christ.","Ancient Roman, Christian Roman, Late Antiquity",CE 350-400 ,"British Museum (not on display), London, UK","Arles, France",CC BY-SA 3.0 © The Trustees of the British Museum,"4th Century CE, Late Antiquity","Jesus, Moses",Sculpture
000851,"Sarcophagus of a Philosopher, detail","A relief carving in marble shows a seated, robed man, viewed frontally, who holds a scroll on his lap.  He wears no beard, but three bearded standing men, and two robed women, flank him on either side. Books and scrolls are at his feet.",Artstor: Department of Art History Digital Collections,Unknown,A seated man in a robe holds a scroll on his lap while five standing figures flank him.,"Ancient Roman, Imperial Roman",CE 270-280,"Vatican Museum, Rome","Rome, Italy",Artstor: Department of Art History Digital Collections,"3rd Century CE, Imperial Rome",philosopher,Sculpture
000852,Sarcophagus of Ahiram,"A large stone sarcophagus, its sides decorated with relief carvings of an enthroned king with priestesses standing in a line, rests on a base of four carved lionesses with projecting heads and paws.","Public Domain, attribution American Colony (Jerusalem) Photo Dept, from Matson (G. Eric and Edith) Photograph Collection,  Library of Congress Prints and Photographs Division Washington, D.C.",Unknown,Large stone sarcophagus rests on base of four carved lionesses,"Near Eastern, Lebanese, Levantine, Phoenician",BCE 1000 ca.,National Museum of Beirut,"Byblos (modern Jbeil), Lebanon","Public Domain, attribution American Colony (Jerusalem) Photo Dept, from Matson (G. Eric and Edith) Photograph Collection,  Library of Congress Prints and Photographs Division Washington, D.C.",2nd Millennium BCE,"king, sphinx",Sculpture
000853,Sarcophagus of Junius Bassus,"This rectangular sarcophagus is made of marble, and on three of its four sides are relief carvings of scenes from the Old Testament and Christ’s life.",CC BY-SA 3.0 Sailko,Unknown,"This rectangular sarcophagus is made of marble, with relief carvings of scenes showing people and animals.","Ancient Roman, Christian Roman, Imperial Roman, Late Antiquity",CE 359,"Museo Storico Del Tesoro della Basilica Di San Pietro, Rome","Old Saint Peter's Basilica, Rome",CC BY-SA 3.0 Sailko,"4th Century CE, Imperial Rome, Late Antiquity",Christianity,Sculpture
000854,Sarcophagus of Pharaoh Hatshepsut recut for father Thutmose I,"A large rectangular box made of stone shows polished surfaces covered with hieroglyphs. The lid is suspended over the top side, allowing a peek underneath, where more hieroglyphs are carved on the inside surfaces.","ArtStor Museum of Fine Arts, Boston, Collection",Unknown,A large rectangular box made of stone shows polished surfaces covered with hieroglyphs.,"Ancient Egyptian, New Kingdom",BCE 1473-1458 ,"Museum of Fine Arts, Boston, Egyptian New Kingdom Gallery (Gallery 210) ","Valley of Kings, Luxor, Egypt","ArtStor Museum of Fine Arts, Boston, Collection","2nd Millennium BCE, Dynasty 18, reign of Hatshepsut",hieroglyphic,Sculpture
000855,Sarcophagus of Sleeping Boy with Prometheus,A marble sarcophagus with a sleeping boy on the lid and the Prometheus creation myth carved on the base.,CC BY-SA 4.0 JSimard,Unknown,A marble sarcophagus with a sleeping boy on the lid and scenes with people and animals carved on the base.,"Ancient Roman, Late Antiquity, Imperial Roman",CE 250-300 ,"Capitoline Museum, Rome",Rome,CC BY-SA 4.0 JSimard,"3rd Century CE, Imperial Rome, Late Antiquity","Prometheus, Athena",Sculpture
000856,"Sarcophagus, Ramtha Visnai and Arnth Tetnies","Seen from above is a sarcophagus lid depicting a reclining man and woman under a thin blanket; their feet peek out from below. The figures are embracing, and seem as if lying in bed.","ArtStor Museum of Fine Arts, Boston -- Images for Academic Publishing",Unknown,"Seen from above is a sarcophagus lid depicting a reclining man and woman under a thin blanket, embracing.","Ancient Roman, Etruscan",BCE 350-300 ,"Museum of Fine Arts, Boston","Lazio, Vulci (Italy)","ArtStor Museum of Fine Arts, Boston -- Images for Academic Publishing","4th Century BCE, Late Classical or Early Hellenistic Period",funerary object,Sculpture
000857,Sargent: Lord Ribblesdale,"Painting of a tall man in riding clothes standing before a pilaster, executed in muted earth tones.",Public Domain,John Singer Sargent,Painting of a man in riding clothes,"Northern and Western European, British, Impressionism, Realism",CE 1902,"National Gallery, London, UK","London, England",Public Domain,"20th Century CE, Impressionism, Realism",portriat,Painting
000858,Sargent: Madame X (Madame Pierre Gautreau),"Painting of a woman in a black gown with a plunging neckline, her face turned in profile.",Public Domain,John Singer Sargent,Painting of a woman in a black gown,"Northern and Western European, French, Impressionism, Realism",CE 1883-1884,"The Metropolitan Museum of Art, New York, NY, USA","Brittany and Paris, France",Public Domain,"20th Century CE, Impressionism, Realism",portriat,Painting
000859,Scribe Nykara & Family,"This family statue depicts Nykara, seated in the middle. His son and wife stand beside him. The figure on the left holds his pointer finger to his lips. Nykara holds his right hand in a fist and his left palm rested face-down on his lap.",CC BY 3.0 Brooklyn Museum,Unknown,"This family statue depicts a male in a kilt, seated in the middle. His son and wife stand beside him.","Ancient Egyptian, Old Kingdom",BCE 2455-2350 ca.,"Brooklyn Museum of Art, Egyptian Galleries","Egypt, Old Kingdom. Place unknown",CC BY 3.0 Brooklyn Museum,"3rd Millennium BCE, Old Kingdom, late Dynasty 5",scribe,Sculpture
000860,Sculpture of a Buddha with Attendants,A figure of a Buddha is flanked by two attendant figures. There is a disk with decorative carving behind them. The sculpture is very weathered and made of red sandstone.,Public Domain,Unknown,A sculpture of a Buddha and two attendants in red sandstone,"South Asian, Indian Buddhism, Indian",CE 100,Mathura Government Museum,"Mathura, Uttar Pradesh",Public Domain,2nd Century CE,Buddha,Sculpture
000861,Seated Buddha First Sermon Sarnath ,"Carved in polished stone, a seated Buddha in a teaching pose holds both hands in front of the chest in a dharmachakra mudra. ",CC BY-SA 3.0 Tevaprapas Makklay (พระมหาเทวประภาส วชิรญาณเมธี),Unknown,"A seated Buddha holds both hands in front of the chest, seated on a throne.  A disk is behind him.","South Asian, Indian Buddhism, Indian, Gupta, Sarnath",CE 528,Archaeological Museum Sarnath,"Sarnath, India",CC BY-SA 3.0 Tevaprapas Makklay (พระมหาเทวประภาส วชิรญาณเมธี),6th Century CE,Buddha,Sculpture
000862,Seated Buddha from Gandhara,"A seated figure wearing a robe holds his hands at the center of his chest, fingers joining. The face shows a tranquil expression. Between the eyebrows is a dot. The hair rises to a bun on top, and the earlobes are elongated. Behind the figure is a disk.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,"A seated figure wearing a robe holds his hands at the center of his chest, fingers joining.","South Asian, Pakistani, Buddhist, Gandhara, Hellenistic",CE 100-300,"British Museum, London, UK","Gandhara, Pakistan",CC BY-SA 3.0 © The Trustees of the British Museum,"2nd-3rd Century CE, Kushan, Gandhara, Hellenistic",Buddha,Sculpture
000863,"Seated Buddha, Teaching Mudra","A buddha figure sits cross-legged with hands in a teaching mudra: one hand palm out, the other cupping beneath. The Buddha sits on a pedestal.",ArtStor Art Images for College Teaching,Unknown,Buddha sits cross-legged with hands in teaching mudra,"South Asian, Indian Buddhism, Indian",CE 1050,"Denver Art Museum, Denver, CO, USA","Bihar, India",ArtStor Art Images for College Teaching,"11th Century CE, Pala dynasty",Buddha,Sculpture
000864,Seated Figure,"A crosslegged man sits hunched over one raised knee in a contorted position, with his head resting on the knee and his mouth slightly open. He has a series of large raised bumps on his back. ",CC 1.0 Universal Public Domain,Unknown,"A clay figure of a man sits in a contorted position, with his head resting on a knee and his mouth slightly open. ","West African, Mali Empire",CE 1200-1300,"The Metropolitan Museum of Art, New York, NY, USA","Djenne-djenno, Mali",CC 1.0 Universal Public Domain,13-14th Century CE,Middle Niger civilization,Sculpture
000865,Seated figure with drinking cup,"A seated ceramic figure holds a cup aloft in his right hand, with his left hand, empty, raised in a mimed position. He faces the raised cup. A horn emerges from his forehead.","Public Domain, LACMA The Proctor Stafford Collection",Unknown,A seated ceramic figure holds a cup aloft in his right hand. A horn emerges from his forehead.,"North American, Mexican, Aztec",BCE 200-CE 400,Los Angeles County Art Museum,"Colima, Mexico","Public Domain, LACMA The Proctor Stafford Collection",3rd Century BCE - 5th Century CE,Aztec,Ceramics 
000866,Seated Portuguese Man,"A seated man wears European clothing, a hat, and sports a doublet that are all typical of the 18th century.  His face shows a prominent jutting nose, long beard and mustache. ",CC 1.0 Universal Public Domain,Unknown,"A man in a sitting position, emphasizing 18th century Portuguese/European features and fashion: Prominent jutting nose, long beard and mustache, hat, buttoned doublet.","West African, Nigerian, Edo",CE 1700 ,"The Metropolitan Museum of Art, New York, NY, USA",Nigeria OR Benin,CC 1.0 Universal Public Domain,18th Century CE,"Portuguese, Nigeria",Sculpture
000867,Seated Scribe,"A painted sculpture of a man sitting cross-legged, looking forward with attention. On his lap rests a scroll; his right hand is poised to write but holds no writing utensil. His face is highly realistic. He wears no shirt and a white cloth over his lower body.",CC BY-SA 3.0 Fr Unknown,Unknown,"A painted sculpture of a shirtless man sitting cross-legged, wearing a kilt and holding a scroll in his lap.","Ancient Egyptian, Old Kingdom",BCE 2500,"Louvre Museum, Paris","Saqqara, Egypt",CC BY-SA 3.0 Fr Unknown,"3rd Millennium BCE, Old Kingdom",scribe,Sculpture
000868,Seated Statue of Amenhotep III,"Granodiorite Seated Statue of Amenhotep; wears the short royal kilt, royal headdress with uraeus, chin-beard",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,"Seated male wears the short royal kilt, royal headdress with and a chin-beard.","Ancient Egyptian, New Kingdom",BCE 1390-1353,"British Museum, London, UK","Egypt, Upper; Egypt, Temple of Amenhotep III (Thebes)",CC BY-SA 3.0 © The Trustees of the British Museum,"2nd Millennium BCE, 18th Dynasty",Amenhotep III,Sculpture
000869,Seated Statue of Hatshepsut,"In this life-size, limestone statue a female figure is seated on a chair-shaped block of stone.  She wears a nemes-headcloth folded across her forehead and tucked behind her ears, with two panels draped down past her shoulders.  She wears a kilt. Her knees, hands, forearms, nose, and crowning uraeus above her forehead are damaged. A vertical hieroglyph is inscribed on the right chair-leg.",CC 1.0 Universal Public Domain,Unknown,Carved in stone is a seated woman wearing a headdress and kilt.,"Ancient Egyptian, New Kingdom",BCE 1479-1458 ca.,"Metropolitan Museum of Art, Fifth Avenue, New York, Gallery115","Egypt, Upper Egypt, Thebes, Deir el-Bahri & el- Asasif,",CC 1.0 Universal Public Domain,"2nd Millennium BCE, Dynasty 18",Hatshepsut,Sculpture
000870,Sedlec Ossuary,The interior of the Sedlec Ossuary has skeleton bones as decorations.,Pudelek (Marcin Szala),Unknown,"The interior of the cathedral-shaped Sedlec Ossuary, with skeletons as decorations.","Central and Eastern European, Czechish, Christendom, Romanesque",CE 1142,"Cemetery Church of All Saints, Kutná Hora, Czech Republic","Sedlec Ossuary, Kutná Hora, Czech Republic",Pudelek (Marcin Szala),"12th Century CE, Romanesque",Christianity,Architecture
